ds;city;pres;yhat_pres;yhat_upper_pres;yhat_lower_pres;anomaly_pres;prcp;yhat_prcp;yhat_upper_prcp;yhat_lower_prcp;anomaly_prcp
28.04.2020;Aachen;1004.3;1.015.078.108;1.026.072.557;1.003.299.423;0;03. Apr;0.822670372;4.235.687.472;-2.596.270.836;0
29.04.2020;Aachen;1005.7;1.014.633.792;1.026.726.121;1.003.545.844;0;0.5;0.703857441;4.054.042.717;-243.794.193;0
30.04.2020;Aachen;1002.2;1.013.980.656;1.025.427.746;1.002.174.952;0;3;0.766586909;4.111.141.155;-2.455.911.298;0
01.05.2020;Aachen;1002.1;1.012.890.532;1.023.702.121;1.001.896.399;0;01. Jul;0.521831696;3.653.106.673;-2.848.498.092;0
02.05.2020;Aachen;1009.4;1.015.533.399;1.027.298.103;1.003.453.221;0;0.9;0.331205249;366.692.748;-3.231.829.798;0
03.05.2020;Aachen;1017.2;1.015.058.938;1.026.959.858;1.003.048.892;0;0.1;0.692315655;3.967.867.335;-2.527.099.776;0
04.05.2020;Aachen;1017.6;1.015.176.932;102.695.581;1.002.748.079;0;0;0.375025806;3.609.065.925;-291.868.005;0
05.05.2020;Aachen;1020.6;1.015.566.465;1.027.966.385;1.004.423.373;0;0;0.898969899;4.305.711.113;-2.564.881.073;0
06.05.2020;Aachen;1024.2;1.015.343.162;102.602.856;1.003.101.831;0;0;0.829008353;3.812.711.932;-2.682.939.547;0
07.05.2020;Aachen;1023.8;101.489.804;102.615.474;1.003.797.043;0;0;0.93947332;4.080.138.737;-2.158.292.403;0
08.05.2020;Aachen;1018.1;1.015.250.758;102.692.244;1.003.606.265;0;0;0.427789897;3.751.951.436;-2.980.620.152;0
09.05.2020;Aachen;1012.4;1.016.814.418;1.029.373.223;1.005.549.404;0;0;0.592350907;3.869.918.712;-291.480.348;0
10.05.2020;Aachen;1006.2;1.016.489.873;1.028.846.712;1.005.589.458;0;04. Jan;0.992114715;4.418.232.335;-2.108.560.928;0
11.05.2020;Aachen;1011.3;1.016.733.476;1.028.147.238;1.004.717.114;0;02. Jul;0.708665246;4.124.411.404;-2.340.880.823;0
12.05.2020;Aachen;1019.4;1.017.222.655;1.028.969.479;1.005.486.987;0;0;126.086.014;4.386.927.024;-2.009.544.283;0
13.05.2020;Aachen;1013.8;1.017.071.912;1.028.967.686;1.004.866.294;0;0;1.212.882.921;4.587.586.334;-2.228.582.405;0
14.05.2020;Aachen;1018.6;1.016.671.673;1.028.230.551;1.004.621.578;0;0;1.338.506.106;4.723.180.677;-2.210.583.695;0
15.05.2020;Aachen;1021.1;1.017.041.536;1.028.519.209;1.005.903.663;0;0;0.834727745;4.198.612.533;-2.571.934.796;0
16.05.2020;Aachen;1023.1;1.018.595.056;1.029.824.442;1.006.806.581;0;0;0.999658848;4.092.649.384;-2.218.067.005;0
17.05.2020;Aachen;1024.3;1.018.234.019;1.031.053.865;1.005.544.997;0;0;139.213.083;4.854.305.499;-2.058.095.089;0
18.05.2020;Aachen;1023.6;1.018.416.157;102.963.168;1.006.096.174;0;0;1.093.761.871;4.404.676.469;-2.225.668.928;0
19.05.2020;Aachen;1022.5;1.018.820.677;1.029.902.487;1.006.798.989;0;0;1.623.607.903;5.001.895.331;-1.842.268.396;0
20.05.2020;Aachen;1022.6;10.185.642;1.030.275.498;1.006.718.015;0;0;1.546.213.998;472.408.481;-1.834.245.117;0
21.05.2020;Aachen;1021.2;101.952.854;1.031.257.663;100.762.307;0;0;0.697720824;4.118.151.421;-2.719.127.614;0
22.05.2020;Aachen;1018.7;1.018.268.972;1.029.353.201;1.006.579.542;0;01. Jan;109.025.412;4.634.187.235;-2.313.740.328;0
23.05.2020;Aachen;1023.9;1.019.668.786;1.031.035.658;1.007.726.353;0;0;1.208.278.554;4.593.790.337;-1.969.987.765;0
24.05.2020;Aachen;1029.4;1.019.117.666;1.030.550.436;1.008.518.595;0;0;154.971.233;4.819.739.264;-1.875.169.662;0
25.05.2020;Aachen;1033.6;1.019.102.251;1.031.085.424;1.006.942.194;1;0;1.197.214.694;4.897.080.172;-2.043.890.974;0
26.05.2020;Aachen;1034.9;1.019.304.634;1.030.925.478;1.007.720.516;1;0;1.670.968.655;4.848.145.842;-1.544.184.203;0
27.05.2020;Aachen;1033.4;101.884.424;1.030.291.705;1.006.803.992;1;0;1.536.709.683;4.873.264.262;-1.706.314.998;0
28.05.2020;Aachen;1032.4;1.018.116.579;1.028.768.881;1.006.450.074;1;0;1.569.959.953;5.115.099.823;-1.499.070.167;0
29.05.2020;Aachen;1027.5;1.018.146.385;1.029.993.636;1.006.404.984;0;0;0.969631183;4.344.007.776;-2.332.149.925;0
30.05.2020;Aachen;1023.2;1.019.352.309;1.030.197.483;1.008.009.565;0;0;1.035.874.226;430.011.525;-2.075.416.827;0
31.05.2020;Aachen;1021.9;10.186.411;1.030.579.584;1.007.857.303;0;0;1.329.645.313;4.464.488.134;-2.099.499.489;0
01.06.2020;Aachen;1021.3;1.017.118.931;1.028.177.501;1.006.139.944;0;0;1.183.042.298;464.893.144;-2.095.689.507;0
02.06.2020;Aachen;1017;1.018.538.418;1.029.906.235;1.006.342.811;0;0;1.372.342.464;4.635.285.357;-1.985.643.531;0
03.06.2020;Aachen;1006.7;1.017.951.388;1.029.897.728;1.006.877.725;1;0;1.209.143.953;4.553.312.454;-2.132.260.134;0
04.06.2020;Aachen;998.9;1.017.110.746;1.029.025.567;1.004.713.158;1;09. Feb;1.221.443.134;4.789.014.904;-2.241.603.626;1
05.06.2020;Aachen;997.3;1.017.042.076;1.028.646.436;1.005.251.162;1;08. Aug;0.608787025;4.074.392.409;-2.564.621.781;1
06.06.2020;Aachen;1000.9;1.018.164.644;103.000.588;1.006.079.233;1;0;0.671793969;418.527.167;-2.720.158.493;0
07.06.2020;Aachen;1007.4;1.017.385.616;1.028.533.104;1.006.063.161;0;0;0.971707965;4.146.160.671;-2.317.710.818;0
08.06.2020;Aachen;1014.4;1.017.167.703;1.028.666.848;1.005.723.094;0;0;0.59241309;3.773.191.667;-2.589.763.367;0
09.06.2020;Aachen;1017.7;1.017.194.647;1.027.926.373;1.005.872.989;0;0;1.055.034.895;4.439.650.626;-2.341.464.833;0
10.06.2020;Aachen;1015.9;1.016.587.128;1.027.971.283;1.006.125.065;0;02. Mrz;0.925945593;4.468.083.385;-2.035.562.742;0
11.06.2020;Aachen;1010.8;1.015.741.536;1.027.766.964;1.004.344.672;0;0.7;0.980980989;4.203.721.914;-2.553.588.445;0
12.06.2020;Aachen;1007.3;1.015.683.142;1.027.099.998;1.004.366.236;0;0;0.41903259;3.729.973.174;-312.326.525;0
13.06.2020;Aachen;1010.5;1.016.830.813;102.829.073;1.005.809.894;0;02. Jan;0.539893328;3.831.938.959;-2.845.286.683;0
14.06.2020;Aachen;1014.5;1.016.091.235;1.028.464.304;1.004.442.316;0;01. Aug;0.903826935;4.374.112.497;-246.086.308;0
15.06.2020;Aachen;1017;1.015.926.567;102.679.034;1.003.979.153;0;0;0.593600686;3.778.496.461;-2.532.164.716;0
16.06.2020;Aachen;1015.8;1.016.019.933;1.027.742.301;1.005.227.848;0;0;1.129.108.017;4.338.712.153;-2.125.657.595;0
17.06.2020;Aachen;1012.7;1.015.491.325;102.669.033;1.004.113.262;0;10. Mai;1.075.397.406;4.286.993.805;-2.208.916.744;1
18.06.2020;Aachen;1011.8;1.014.736.372;1.025.989.591;1.002.588.421;0;12. Mai;1.206.914.936;4.431.137.975;-1.982.319.055;1
19.06.2020;Aachen;1016.3;1.014.779.502;1.026.053.112;1.004.447.634;0;0;0.721123495;3.925.354.228;-241.692.631;0
20.06.2020;Aachen;1021.4;101.603.865;1.027.566.575;1.004.687.459;0;0;0.916376429;4.424.416.515;-2.456.248.862;0
21.06.2020;Aachen;1020.4;1.015.419.464;102.638.923;100.423.994;0;0;1.351.515.144;4.595.407.561;-1.849.279.014;0
22.06.2020;Aachen;1024.9;1.015.382.954;1.027.022.854;1.003.737.962;0;0;1.107.929.766;4.432.741.571;-2.360.854.962;0
23.06.2020;Aachen;1025.2;1.015.610.964;1.027.252.444;1.004.643.478;0;0;1.704.208.794;5.097.724.832;-1.717.505.823;0
24.06.2020;Aachen;1022.1;1.015.222.071;1.026.766.808;1.003.774.133;0;0;1.704.193.573;4.939.378.138;-1.545.707.827;0
25.06.2020;Aachen;1018;1.014.610.344;1.025.885.892;1.002.900.369;0;0;1.881.244.503;5.246.840.914;-1.253.762.924;0
26.06.2020;Aachen;1012.2;1.014.798.507;1.025.998.775;1.003.339.927;0;0;1.431.881.427;4.666.120.283;-1.600.525.964;0
27.06.2020;Aachen;1010.4;1.016.202.642;1.027.226.216;1.004.542.643;0;0;1.653.675.619;4.760.534.925;-1.739.734.773;0
28.06.2020;Aachen;1013.4;101.572.641;1.027.349.933;1.003.113.396;0;0;2.104.862.493;5.559.256.722;-1.364.807.249;0
29.06.2020;Aachen;1013.2;101.582.871;1.027.655.069;1.003.958.823;0;0;1.866.413.851;5.242.286.758;-1.497.438.123;0
30.06.2020;Aachen;1011.1;1.016.189.175;1.028.007.526;1.005.504.878;0;01. Mai;2.456.695.395;558.600.674;-0.570235515;0
01.07.2020;Aachen;1008;1.015.924.099;1.027.713.334;1.004.509.621;0;14. Mai;2.439.525.191;578.953.846;-0.921280749;1
02.07.2020;Aachen;1011.7;101.542.523;1.026.997.293;1.003.597.301;0;0;2.588.439.945;5.604.783.377;-0.634524858;0
03.07.2020;Aachen;1017.6;1.015.712.976;1.027.170.945;1.004.150.655;0;0;2.100.331.556;5.479.292.965;-1.193.380.189;0
04.07.2020;Aachen;1016.4;101.720.116;1.028.254.388;1.005.693.861;0;0.7;2.273.331.506;5.436.909.512;-1.040.484.105;0
05.07.2020;Aachen;1013.7;1.016.791.286;1.029.062.445;1.006.320.122;0;01. Mai;2.666.412.342;5.778.216.057;-0.425023522;0
06.07.2020;Aachen;1017;1.016.940.262;1.027.799.865;1.005.105.067;0;0;2.361.445.375;5.751.427.187;-0.835916754;0
07.07.2020;Aachen;1020.8;1.017.325.949;1.029.288.204;1.005.617.631;0;0;2.877.840.607;6.241.112.959;-0.589130879;0
08.07.2020;Aachen;1016.4;1.017.063.152;1.029.975.454;100.527.786;0;17. Jul;2.780.584.983;6.282.204.397;-0.562938414;1
09.07.2020;Aachen;1014.2;1.016.542.466;1.027.918.368;1.004.369.327;0;06. Aug;2.844.486.239;601.904.717;-0.270133524;1
